POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM
Ansons Alabang,Alabang Town Center,For Opening,15-Apr-24,M67TDGB,NCR South 2,Grace Belarmino
Ansons BGC,Standalone,For Opening,15-Apr-24,MHNT3WR,NCR South 1,Klein Justine Tamayo
Ansons Cainta,Q-Plaza Cainta,For Opening,15-Apr-24,MDTBKRI,NCR East,Albee David
Ansons Capitol Commons,Capitol Commons,For Opening,15-Apr-24,M9EX1KL,NCR East,Albee David
Ansons Cash and Carry,Cash & Carry,For Opening,15-Apr-24,M3ERUVC,NCR South 1,Klein Justine Tamayo
Ansons Greenhills,Greenhills,For Opening,15-Apr-24,M3Z10RP,NCR South 1,Klein Justine Tamayo
Ansons Landmark Filinvest,Landmark Filinvest,For Opening,15-Apr-24,M4EYWQX,NCR South 2,Grace Belarmino
Ansons Landmark Makati,Landmark Makati,For Opening,15-Apr-24,M0C5L7V,NCR South 1,Klein Justine Tamayo
Ansons Landmark Trinoma,Trinoma,For Opening,15-Apr-24,M7RP30A,NCR North,Sander Maghirang
Ansons Nuvali,Nuvali,For Opening,15-Apr-24,MT3B47C,South Luzon 2,Kenneth Mendoza
Ansons Ortigas,Standalone,For Opening,15-Apr-24,MAQ1TK4,NCR East,Albee David
Ansons Pasong Tamo,Standalone,For Opening,15-Apr-24,MWPY7FI,NCR South 1,Klein Justine Tamayo
Ansons Salazar,Standalone,For Opening,15-Apr-24,MK16ORU,NCR North,Sander Maghirang
Ansons The Link,Standalone,For Opening,15-Apr-24,M36FBIC,NCR South 1,Klein Justine Tamayo
Ansons Trinoma,Trinoma,For Opening,15-Apr-24,MP1IOL2,NCR North,Sander Maghirang
Audionet Apalit,Savemore Apalit,For Opening,15-Apr-24,M9T6HF8,North Luzon 2,Rachelle Belmonte
Audionet Ayala Mall Serin,Ayala Mall Serin,For Opening,15-Apr-24,MU4IH2D,South Luzon 1 (A),Aubrey Lalong Isip
Audionet Ayala Terraces,Ayala Terraces,For Opening,15-Apr-24,MI02LVH,NCR North,Sander Maghirang
Audionet Cloverleaf,Cloverleaf,For Opening,15-Apr-24,MW8U450,NCR North,Sander Maghirang
Audionet District Imus,The District Imus,For Opening,15-Apr-24,MVYKQCE,South Luzon 1 (B),Ricky Sarayno
