POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
ESLA Malabon,Standalone,For Opening,22-Apr-24,M56ROOZ,NCR East,Albee David,ESLA
ESLA San Mateo 2,Standalone,For Opening,22-Apr-24,MW9O1LE,NCR North,Sander Maghirang,ESLA
ESLA Balanga 2,Standalone,For Opening,22-Apr-24,MLANGU7,NCR East,Albee David,ESLA
ESLA Balanga 3,Standalone,For Opening,22-Apr-24,MEGZCVB,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Balagtas,Standalone,For Opening,22-Apr-24,MAS4LQ3,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Hagonoy,Standalone,For Opening,22-Apr-24,M57G1WZ,North Luzon 1,Mari Louise Carasig,ESLA
ESLA Meycauayan,Standalone,For Opening,22-Apr-24,M5CDQW1,North Luzon 1,Mari Louise Carasig,ESLA
ESLA San Jose,Standalone,For Opening,22-Apr-24,MKFV7H3,North Luzon 1,Mari Louise Carasig,ESLA
ESLA San Miguel,Standalone,For Opening,22-Apr-24,M3N08T1,North Luzon 1,Mari Louise Carasig,ESLA
ESLA Paranaque,Standalone,For Opening,22-Apr-24,M4VQC3W,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Olongapo 1,Standalone,For Opening,22-Apr-24,MJ4GRNH,NCR South 2,Grace Belarmino,ESLA
ESLA Olongapo 2,Standalone,For Opening,22-Apr-24,MOTNGSC,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Subic,Standalone,For Opening,22-Apr-24,M1XAP9N,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Tanauan 1,Standalone,For Opening,22-Apr-24,M6NWQH8,North Luzon 2,Rachelle Belmonte,ESLA
ESLA Tanauan 2,Standalone,For Opening,22-Apr-24,MCLWZDG,South Luzon 3,Jan jan Dela Cruz,ESLA
ESLA Molino 2,Standalone,For Opening,22-Apr-24,MFTBLQ5,South Luzon 3,Jan jan Dela Cruz,ESLA
ESLA Tagaytay 1,Standalone,For Opening,22-Apr-24,M4JUEK1,South Luzon 1 (B),Ricky Sarayno,ESLA
ESLA Tagaytay 2,Standalone,For Opening,22-Apr-24,MRFNK0X,South Luzon 1 (A),Aubrey Lalong Isip,ESLA
ESLA Siniloan,Standalone,For Opening,22-Apr-24,MA8WIBT,South Luzon 1 (A),Aubrey Lalong Isip,ESLA
ESLA Candelaria,Standalone,For Opening,22-Apr-24,MKEJ3RP,South Luzon 2,Kenneth Mendoza,ESLA
ESLA Tanay,Standalone,For Opening,22-Apr-24,M1G3JTV,South Luzon 3,Jan jan Dela Cruz,ESLA
Willy And Sons Bulan,Standalone,For Opening,22-Apr-24,MHQ2U64,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Daet,Standalone,For Opening,22-Apr-24,MVIDTNQ,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Daraga,Standalone,For Opening,22-Apr-24,MDLENQF,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Labo,Standalone,For Opening,22-Apr-24,MHEWDCL,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Sipocot,Standalone,For Opening,22-Apr-24,M1TLSO0,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Goa,Standalone,For Opening,22-Apr-24,MGZYSOL,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Iriga,Standalone,For Opening,22-Apr-24,MNK9LJZ,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Ligao,Standalone,For Opening,22-Apr-24,MISRA7K,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Legazpi,Standalone,For Opening,22-Apr-24,MJF45B7,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Naga Old,Standalone,For Opening,22-Apr-24,M7VSYDO,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Gumaca,Standalone,For Opening,22-Apr-24,M60QVX9,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Pili,Standalone,For Opening,22-Apr-24,M0IRHDQ,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Polangui,Standalone,For Opening,22-Apr-24,MADXI5E,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Sorsogon,Standalone,For Opening,22-Apr-24,M9QIB56,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Tabaco,Standalone,For Opening,22-Apr-24,MS4Y6C3,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Libmanan,Standalone,For Opening,22-Apr-24,MUT27XI,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Lopez,Standalone,For Opening,22-Apr-24,MW387SC,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Santiago,Standalone,For Opening,22-Apr-24,MN9VG1J,North Luzon 2,Rachelle Belmonte,Willy and Sons
Willy And Sons Cauayan,Standalone,For Opening,22-Apr-24,M3PT9VJ,North Luzon 2,Rachelle Belmonte,Willy and Sons
Willy And Sons Gubat,Standalone,For Opening,22-Apr-24,MGZ2JX0,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Solano,Standalone,For Opening,22-Apr-24,M73K8XB,North Luzon 2,Rachelle Belmonte,Willy and Sons
Willy And Sons Irosin,Standalone,For Opening,22-Apr-24,M1P860S,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Ragay,Standalone,For Opening,22-Apr-24,MBK1H6T,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Pioduran,Standalone,For Opening,22-Apr-24,MU8G4KT,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Techzone,Standalone,For Opening,22-Apr-24,M31VCY8,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
Willy And Sons Camalig,Standalone,For Opening,22-Apr-24,M35CPN4,South Luzon 3,Jan jan Dela Cruz,Willy and Sons
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
