POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Audionet Talamban,Gaisano Mall Talamban,POS Operational,"July 19, 2024",M89F75N,South Cebu,Alexander Limosnero,Rulls
Rulls Talamban,Gaisano Mall Talamban,POS Operational,"July 18, 2024",MJ10TXO,South Cebu,Alexander Limosnero,Rulls
Audionet Pacific Mall,Pacific Mall Mandaue,POS Operational,"July 18, 2024",M6CZVXB,North Cebu,Rona Jay Sinangote,Rulls
Samsung Pacific Mall Mandaue,Pacific Mall Mandaue,POS Operational,"July 18, 2024",MTSG1AU,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Pacific Mall Mandaue,Pacific Mall Mandaue,POS Operational,"July 18, 2024",ME0K1OF,North Cebu,Rona Jay Sinangote,Rulls
Stormtech Pacific Mall Mandaue,Pacific Mall Mandaue,POS Operational,"July 18, 2024",MZ30ZQ6,North Cebu,Rona Jay Sinangote,Rulls
Vivo Kiosk Pacific Mall Mandaue,Pacific Mall Mandaue,POS Operational,"July 18, 2024",M5POYZC,North Cebu,Rona Jay Sinangote,Rulls
Xiaomi Kiosk Pacific Mall Mandaue,Pacific Mall Mandaue,POS Operational,"July 18, 2024",MVHG1X4,North Cebu,Rona Jay Sinangote,Rulls
Audionet EMall,Emall Cebu,POS Operational,"July 18, 2024",M4VJP9A,South Cebu,Alexander Limosnero,Rulls
Rulls Inline Emall,Emall Cebu,POS Operational,"July 18, 2024",M7TGLXS,South Cebu,Alexander Limosnero,Rulls
Audionet Robinson Galleria Cebu,Robinsons Galleria Cebu,POS Operational,"July 18, 2024",M5ENC74,South Cebu,Alexander Limosnero,Rulls
Mobile Craze Robinsons Galleria Cebu,Robinsons Galleria Cebu,POS Operational,"July 18, 2024",MQNWEYJ,South Cebu,Alexander Limosnero,Rulls
Audionet Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",M6NT0Z3,North Cebu,Rona Jay Sinangote,Rulls
Oppo Kiosk Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",MGOHR3F,North Cebu,Rona Jay Sinangote,Rulls
Rulls Inline Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",MUZEJD3,North Cebu,Rona Jay Sinangote,Rulls
Techsynergy Kiosk Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",M93SHLK,North Cebu,Rona Jay Sinangote,Rulls
Vivo Kiosk Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",MUAIDSJ,North Cebu,Rona Jay Sinangote,Rulls
Realme Kiosk Grand Mall Mandaue,Gaisano Mall Mandaue,POS Operational,"July 18, 2024",MFI4V1W,North Cebu,Rona Jay Sinangote,Rulls
Audionet Multi Kiosk Grandmall Tabunoc,Gaisano Festival Talisay,POS Operational,"July 18, 2024",M2T75W4,South Cebu,Alexander Limosnero,Rulls
Capital Island Mall Oppo Kiosk,Gaisano Island Mall,POS Operational,"July 18, 2024",MJW6RED,North Cebu,Rona Jay Sinangote,Rulls
Capital Island Mall Realme Kiosk,Gaisano Island Mall,POS Operational,"July 18, 2024",MPITKNB,North Cebu,Rona Jay Sinangote,Rulls
Capital Island Mall Vivo Kiosk,Gaisano Island Mall,POS Operational,"July 18, 2024",MU4X3UP,North Cebu,Rona Jay Sinangote,Rulls
Huawei Multi Kiosk Island Mall,Gaisano Island Mall,POS Operational,"July 18, 2024",MSQX4P9,North Cebu,Rona Jay Sinangote,Rulls
Social Techno Inline Island Mall,Gaisano Island Mall,POS Operational,"July 18, 2024",MG6HED9,North Cebu,Rona Jay Sinangote,Rulls
Social Techno Island Mall Kiosk 1,Gaisano Island Mall,POS Operational,"July 18, 2024",MZQ0LJE,North Cebu,Rona Jay Sinangote,Rulls
Techsynergy Island Mall Mactan,Gaisano Island Mall,POS Operational,"July 18, 2024",MPUQOY1,North Cebu,Rona Jay Sinangote,Rulls
Tylex Inline Island Mall,Gaisano Island Mall,POS Operational,"July 18, 2024",MSKTYE7,North Cebu,Rona Jay Sinangote,Rulls
Rulls Colonade,Colonnade Mall Cebu,POS Operational,"July 18, 2024",MDSKPT5,South Cebu,Alexander Limosnero,Rulls
HJY 3 Cebu,Colonnade Mall Cebu,POS Operational,"July 18, 2024",MX5722Z,South Cebu,Alexander Limosnero,Rulls
K Star Colon Retall,Standalone,POS Operational,"July 18, 2024",MZNZ6A7,South Cebu,Alexander Limosnero,Rulls
Rulls Cebu Robinson,Robinsons Galleria Cebu,POS Operational,"July 18, 2024",MWRKZ87,South Cebu,Alexander Limosnero,Rulls
Rulls Inline Tabunok,Gaisano Mall Tabunoc,POS Operational,"July 18, 2024",MZEKYHL,South Cebu,Alexander Limosnero,Rulls
Rulls Kiosk Tabunok,Gaisano Mall Tabunoc,POS Operational,"July 18, 2024",MFUVBL8,South Cebu,Alexander Limosnero,Rulls
Tecno Kiosk Grandmall Tabunoc,Gaisano Festival Talisay,POS Operational,"July 18, 2024",MB6WP3D,South Cebu,Alexander Limosnero,Rulls
Huawei Kiosk Grandmall Tabunoc,Gaisano Festival Talisay,POS Operational,"July 18, 2024",M7OQRTF,South Cebu,Alexander Limosnero,Rulls
Infinix Kiosk Grandmall Tabunoc,Gaisano Festival Talisay,POS Operational,"July 18, 2024",MADJL7R,South Cebu,Alexander Limosnero,Rulls
Xiaomi Kiosk Grandmall Tabunoc,Gaisano Festival Talisay,POS Operational,"July 18, 2024",M4PTQ8J,South Cebu,Alexander Limosnero,Rulls
Audionet Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",M8AGI4K,North Cebu,Rona Jay Sinangote,Rulls
Rulls Citymall Danao,CityMall Danao,For Opening,"July 18, 2024",MP351H0,North Cebu,Rona Jay Sinangote,Rulls
Oppo Kiosk Liloan,Gaisano Mall Liloan,For Opening,"July 29, 2024",M8HDBV6,North Cebu,Rona Jay Sinangote,Rulls
Realme Kiosk Liloan,Gaisano Mall Liloan,For Opening,"July 29, 2024",MKR3JLG,North Cebu,Rona Jay Sinangote,Rulls
