POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM
Homeworks Baesa,Standalone,For Opening,"January 22, 2024",M39O492,NCR North,Ben Antonio Lacsamana
Homeworks Commonwealth,Ever Gotesco Mall,For Opening,"January 22, 2024",MCPAW12,NCR North,Ben Antonio Lacsamana
Homeworks Malanday,Standalone,For Opening,"January 22, 2024",MG45SP9,NCR North,Ben Antonio Lacsamana
Homeworks Montalban,Standalone,For Opening,"January 22, 2024",M3XCD5W,NCR East,Charm Moltio
Homeworks Pateros,Standalone,For Opening,"January 22, 2024",M0FANYH,NCR South,Klein Justine Tamayo
Homeworks Silang,Standalone,For Opening,"January 22, 2024",M4RVWKA,South Luzon 2,Christian Klide Alberto
Homeworks Talipapa,Standalone,For Opening,"January 22, 2024",M7EH58Z,NCR North,Ben Antonio Lacsamana
Workstation Home Appliances The District Mall,Districy Mall Dasma,For Opening,"January 22, 2024",MFVTRWS,South Luzon 2,Christian Klide Alberto
Jhunpyo Teresa,Standalone,For Opening,"January 22, 2024",M6WHPE8,NCR East,Charm Moltio
Jhunpyo Tarlac,Standalone,For Opening,"January 22, 2024",M9J2GV8,North Luzon 1,Rachelle Belmonte
Jhunpyo Binangonan,Standalone,For Opening,"January 22, 2024",MCS7VWN,NCR East,Charm Moltio
Homeworks Cabiao,Standalone,For Opening,"January 15, 2024",MZ8J1IW,North Luzon 1,Rachelle Belmonte
Affordables Tanza,Standalone,For Opening,"January 22, 2024",M52OI1K,South Luzon 1 (B),Ricky Sarayno
Xtreme Appliances Robinsons Imus,Robinsons Place Imus,For Opening,"January 22, 2024",MEHKS81,South Luzon 2,Christian Klide Alberto
