POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Vmax Central Binan,Central Mall Binan,POS Operational,"July 27, 2024",MZEO85E,South Luzon,Aubrey Lalong Isip,VMax Mobile
Lets Mobile Phone and accessories Store,Divimall Cabuyao,POS Operational,"July 27, 2024",MSNZ3XL,South Luzon,Aubrey Lalong Isip,VMax Mobile
Vmax Waltermart Sta Rosa,Waltermart Starosa,POS Operational,"July 27, 2024",MJ0WZAK,South Luzon,Aubrey Lalong Isip,VMax Mobile
Vmax Central Binan 2,Central Mall Binan,POS Operational,"July 27, 2024",ME4NBT7,South Luzon,Aubrey Lalong Isip,VMax Mobile
Vmax Central Balibago,Victory Central Mall Balibago,POS Operational,"July 27, 2024",MWN8FVI,South Luzon,Aubrey Lalong Isip,VMax Mobile
Delle General Merch Harmony Mall,Harmony Village Mall,POS Operational,"July 27, 2024",M3YOW2R,South Luzon,Aubrey Lalong Isip,VMax Mobile
Realme Target Mall Balibago,Target Mall Balibago,For Opening,"August 2, 2024",MXACV0S,South Luzon,Aubrey Lalong Isip,VMax Mobile
Vmax Waltermart Cabuyao,Waltermart Cabuyao,For Opening,"August 2, 2024",MKPNC4B,South Luzon,Aubrey Lalong Isip,VMax Mobile
Delle General Merch Target Mall,Target Mall Balibago,For Opening,"August 2, 2024",MLX9FJP,South Luzon,Aubrey Lalong Isip,VMax Mobile
St Vincent Telecom Target Mall,Target Mall Starosa,For Opening,"August 2, 2024",MVTZGDH,South Luzon,Aubrey Lalong Isip,VMax Mobile
