POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,TERRITORY,TSM,REGION,Brand
FC Home Center Candelaria,Standalone,For Opening,23-Aug-24,MDLY3Z9,Bicol,Penfrancia Ayo,South Luzon,FC Home
Jr Mx Pacific Centre Binondo,Standalone,For Opening,19-Aug-24,MXI3S6W,NNCR,Sander Maghirang,North Luzon,MemoXpress
Jr Mx Waltermart Balayan Batangas,Waltermart Balayan,For Opening,19-Aug-24,M4XIFGS,Bicol,Penfrancia Ayo,South Luzon,MemoXpress
Jr Mx Waltermart Dasmarinas,Waltermart Dasmarinas,POS Operational,22-Aug-24,M4WS9TG,Cavite Dasma,Kathleen Incoy,South Luzon,MemoXpress
Jr Mx Super Metro Lapu Lapu,Super Metro Lapu Lapu,POS Operational,13-Aug-24,MT10J4X,Cebu North,Rona Jay Sinangote,VISAYAS,MemoXpress
JCE Fonehub Waltermart Tanauan,Waltermart Tanauan,For Opening,24-Aug-24,MK4WN52,Batangas,Jan Jan Dela Cruz,South Luzon,JCE Fone
Infinix Concept Store Waltermart Tanauan,Waltermart Tanauan,For Opening,24-Aug-24,MZ3HN9Y,Batangas,Jan Jan Dela Cruz,South Luzon,JCE Fone
Infinix Waltermart Bicutan,Waltermart Bicutan,For Opening,24-Aug-24,M1KXDBO,Alabang,Grace Belarmino,South Luzon,JCE Fone
Tecno Waltermart Bicutan,Waltermart Bicutan,For Opening,24-Aug-24,MFH3EK5,Alabang,Grace Belarmino,South Luzon,JCE Fone
Infinix Waltermart Dasma,Waltermart Dasmarinas,POS Operational,22-Aug-24,MG0ODBX,Cavite Dasma,Kathleen Incoy,South Luzon,JCE Fone
Infinix Waltermart Trece,Waltermart Trece Martires,For Opening,24-Aug-24,MTOSI0A,Cavite Dasma,Kathleen Incoy,South Luzon,JCE Fone
Infinix Central Mall Dasma,Central Mall Dasma,For Opening,24-Aug-24,M7YJ12E,Cavite Dasma,Kathleen Incoy,South Luzon,JCE Fone
Xioami LCC Iriga,LCC Mall Iriga,For Opening,24-Aug-24,MEYLI7K,Bicol,Penfrancia Ayo,South Luzon,JCE Fone
Infinix LCC Iriga,LCC Mall Iriga,For Opening,24-Aug-24,MXUHR78,Bicol,Penfrancia Ayo,South Luzon,JCE Fone
Infinix Festival Mall,Festival Mall,For Opening,24-Aug-24,MV25D0H,Alabang,Grace Belarmino,South Luzon,JCE Fone
Power Switch Festival Mall,Festival Mall,For Opening,24-Aug-24,MIHX81Z,Alabang,Grace Belarmino,South Luzon,JCE Fone
Infinix LCC Goa,LCC Mall Goa,For Opening,24-Aug-24,M23CNPV,Bicol,Penfrancia Ayo,South Luzon,JCE Fone
Inifinix Yashano Mall Naga,Yashano Mall Naga,For Opening,24-Aug-24,MTUEP6I,Bicol,Penfrancia Ayo,South Luzon,JCE Fone
Infinix Central Mall Sta Cruz,Central Mall Sta Cruz,For Opening,24-Aug-24,MLQ6VA0,Laguna,Aubrey Lalong Isip,South Luzon,JCE Fone
Realme Robinsons Town Los Banos,Robinsons Town Los Banos,For Opening,24-Aug-24,M38O0L2,Laguna,Aubrey Lalong Isip,South Luzon,JCE Fone
