POS NAME,STORE LOCATION,STATUS,DATE ACTIVATION,PURPLE KEY,REGION,TSM,Brand
Presnet Bauan,Standalone,For Opening,"June 25, 2024",MED970B,South Luzon 3,Jan jan Dela Cruz,Presnet
Presnet Baymall,Standalone,For Opening,"June 25, 2024",MJ8BX1A,South Luzon 3,Jan jan Dela Cruz,Presnet
Presnet Waltermart Batangas,Waltermart Calicanto,For Opening,"June 25, 2024",MGYBS7R,South Luzon 3,Jan jan Dela Cruz,Presnet
Samsung Rosario,Standalone,For Opening,"June 25, 2024",M6O85IU,South Luzon 3,Jan jan Dela Cruz,Presnet
Presnet Rosario New,Standalone,For Opening,"June 25, 2024",MDWAVQ1,South Luzon 3,Jan jan Dela Cruz,Presnet
Presnet K Mall,Kmall Tagaytay,For Opening,"June 25, 2024",M6U0HCQ,South Luzon 1 (A),Aubrey Lalong Isip,Presnet
Presnet Robinsons Town Mall Los Banos,Robinsons Place Lopez,For Opening,"June 25, 2024",MJB7D28,South Luzon 2,Kenneth Mendoza,Presnet
Presnet Robinsons Galleria South,Robinsons Galleria South,For Opening,"June 25, 2024",M7TJRFE,South Luzon 2,Kenneth Mendoza,Presnet
Presnet Southwoods Mall Binan,Southwoods Mall,For Opening,"June 25, 2024",MZGLWDI,South Luzon 2,Kenneth Mendoza,Presnet
Presnet Robinsons Place Lipa,Robinsons Lipa,For Opening,"June 25, 2024",MPI2D9Y,South Luzon 3,Jan jan Dela Cruz,Presnet
Samsung Concept Robinsons Place Lipa,Robinsons Lipa,For Opening,"June 25, 2024",MS1C53T,South Luzon 3,Jan jan Dela Cruz,Presnet
Realme Concept Rob Lipa,Standalone,For Opening,"June 25, 2024",M8Y9XSI,South Luzon 3,Jan jan Dela Cruz,Presnet
Infinix Cash and Carry,Cash & Carry,For Opening,"June 25, 2024",M8AT9VS,NCR South 1,Klein Justine Tamayo,Presnet
Tecno Cash and Carry,Cash & Carry,For Opening,"June 25, 2024",MFRL0IQ,NCR South 1,Klein Justine Tamayo,Presnet
Presnet Waltermart Makati,Waltermart Makati,For Opening,"June 25, 2024",MSHV9CF,NCR South 1,Klein Justine Tamayo,Presnet
P Waltermart Tanauan,Waltermart Tanauan,For Opening,"June 25, 2024",M02DYRA,South Luzon 3,Jan jan Dela Cruz,Presnet
Xiaomi Waltermart Tanauan,Waltermart Tanauan,For Opening,"June 25, 2024",MTH41O7,South Luzon 3,Jan jan Dela Cruz,Presnet
Realme Concept Waltermart Tanauan,Waltermart Tanauan,For Opening,"June 25, 2024",MK7F7JC,South Luzon 3,Jan jan Dela Cruz,Presnet
P Victory Mall Tanauan,Victory Mall Tanauan,For Opening,"June 25, 2024",MHJXP8E,South Luzon 3,Jan jan Dela Cruz,Presnet
Presnet Ultimart Shopping Mall,Ultimart San Pablo,For Opening,"June 25, 2024",MSIH1BK,South Luzon 2,Kenneth Mendoza,Presnet
Presnet Ultimart Kiosk Shopping Mall,Ultimart San Pablo,For Opening,"June 25, 2024",MFAGBC7,South Luzon 2,Kenneth Mendoza,Presnet
